time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-21 00:00:00+00:00,4,3,0,0
2022-08-28 00:00:00+00:00,3,2,0,0
2022-08-31 00:00:00+00:00,0,0,10,1
2022-09-02 00:00:00+00:00,8,7,53,1
2022-09-03 00:00:00+00:00,0,0,17,1
